area,quartos,suites,vagas,bairro_id,bairro,valor
57.0,2,0,1,1,VL DA SAUDE,1600
143.0,4,1,2,2,ITAIM BIBI,5600
140.0,3,1,1,3,BROOKLIN,3000
70.0,2,1,1,4,CAMPO BELO,4000
80.0,2,1,2,5,PERDIZES,2500
110.0,2,0,0,6,JD PAULISTA,3200
200.0,3,1,2,2,ITAIM BIBI,4500
56.0,2,1,1,7,MORUMBI,2200
43.0,1,0,1,8,CONSOLAÇÃO,1800
213.0,3,3,4,9,PANAMBY,9500
90.0,2,1,1,7,MORUMBI,2500
150.0,4,3,3,10,MOEMA,4500
51.0,1,1,1,3,BROOKLIN,2700
193.0,3,3,3,11,CH STO ANTÔNIO,9500
76.0,2,0,1,12,VL OLÍMPIA,2200
136.0,3,1,3,13,ALTO DO IPIRANGA,5000
74.0,3,1,1,7,MORUMBI,2200
34.0,1,0,1,8,CONSOLAÇÃO,2200
57.0,2,0,1,10,MOEMA,2800
44.0,1,0,1,2,ITAIM BIBI,2600
83.0,2,1,2,4,CAMPO BELO,2600
220.0,4,1,2,5,PERDIZES,6000
65.0,2,1,1,14,VL S PAULO,1800
74.0,2,2,2,10,MOEMA,4500
130.0,3,2,2,9,PANAMBY,5500
87.0,2,2,2,15,VL ANDRADE,2700
64.0,2,1,1,16,MOOCA,2000
141.0,4,2,2,7,MORUMBI,4300
66.0,2,1,2,17,TATUAPÉ,1700
63.0,2,0,1,18,BOSQUE DA SAÚDE,1500
182.0,4,3,3,19,CH KLABIN,5000
146.0,4,2,3,7,MORUMBI,6000
56.0,2,1,2,20,SAÚDE,2700
68.0,2,1,1,21,IPIRANGA,2200
83.0,3,1,2,22,JAGUARÉ,2000
112.0,2,0,0,23,CERQUEIRA CÉSAR,3000
80.0,3,1,2,24,VL MASCOTE,2200
124.0,3,1,2,3,BROOKLIN,4500
87.0,3,1,2,7,MORUMBI,2600
59.0,2,1,1,25,ANÁLIA FRANCO,1850
70.0,1,1,1,26,VL NOVA CONCEIÇÃO,4000
57.0,3,0,2,22,JAGUARÉ,1700
48.0,1,1,1,8,CONSOLAÇÃO,2600
37.0,1,0,0,27,AV PAULISTA,1600
74.0,2,1,1,28,POMPÉIA,2200
33.0,1,1,1,9,PANAMBY,2000
78.0,3,0,1,7,MORUMBI,2000
138.0,4,3,3,7,MORUMBI,3800
130.0,3,1,1,29,JD AMÉRICA,6000
50.0,2,0,1,9,PANAMBY,1999
60.0,1,0,1,10,MOEMA,2400
246.0,4,3,2,7,MORUMBI,3000
43.0,1,1,1,30,CAMPOS ELÍSEOS,1700
56.0,2,0,1,31,BUTANTÃ,1200
48.0,2,0,1,32,JABAQUARA,1700
93.0,3,1,2,33,BARRA FUNDA,3500
82.0,2,2,2,12,VL OLÍMPIA,4000
69.0,2,0,1,34,CAMPO GRANDE,1800
95.0,2,0,1,10,MOEMA,5150
127.0,3,1,1,35,CH INGLESA,3400
70.0,3,1,2,7,MORUMBI,2300
118.0,3,1,1,36,PARAÍSO,2400
138.0,3,3,3,7,MORUMBI,2000
55.0,2,0,1,31,BUTANTÃ,1500
46.0,1,0,0,6,JD PAULISTA,3500
85.0,3,1,2,37,VL MARIANA,2800
111.0,2,2,2,3,BROOKLIN,9500
45.0,1,0,1,10,MOEMA,2000
288.0,4,4,4,9,PANAMBY,10000
45.0,1,0,1,10,MOEMA,2000
165.0,4,4,0,2,ITAIM BIBI,6000
95.0,3,1,2,38,PENHA,1500
